street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Heiligenstädter Straße,129.0,19,,,,3.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.36193458915872 48.250179841705474)
Ober-Laaer Straße,119.0,10,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.393967707389518 48.1387016343068)
Jakschgasse,3.0,14,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.31383656668974 48.191285994960886)
Himberger Straße,59.0,10,,,,1.0,Sonstige,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,1848 -1918,POINT (16.383248848562406 48.13758901669886)
Grinzinger Straße,69.0,19,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.35329275472754 48.253854798832236)
Hansi-Niese-Gasse,22.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.35309029044774 48.260175299917364)
Rinnböckstraße,47.0,11,,1963.0,Schütte-Lihotzky Margarete,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.410651053570934 48.180518143969834)
Linzer Straße,306.0,14,,,,3.0,betriebliche Nutzung,12.-Gewerbebetriebe,nach 1945,POINT (16.274081870346095 48.19805771149385)
Schopenhauerstraße,52.0,18,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.340338890087754 48.224460563068064)
Rosensteingasse,60.0,17,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32779391001195 48.22111378930741)
Mariahilfer Straße,207.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1849-1859,POINT (16.32861893183638 48.191282515540145)
Alsegger Straße,14.0,18,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.324095485905527 48.23007005208265)
