street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Pernerstorfergasse,27.0,10,,,,0.0,betriebliche Nutzung,Keine Angabe,1848 -1918,POINT (16.377690148766362 48.176243197929146)
Holzmeistergasse,8.0,21,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.402897146232117 48.25731983117683)
Hagenmüllergasse,32.0,3,Roman Fellein-Hof,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.404967288551955 48.19705874747386)
Floridusgasse,34.0,21,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.409466888072476 48.25033705544106)
Kaulbachstraße,24.0,12,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.309255834987084 48.164393975207)
Gumpendorfer Straße,7.0,6,,,,6.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1848 -1918,POINT (16.361740766003837 48.2004281916754)
Elisenstraße,45.0,23,Jugend am Werk-Tagesheim,1917.0,,,keine Angabe,Keine Angabe,1884-1918,POINT (16.2705720444026 48.1358133232192)
Schloßhofer Straße,56.0,21,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.4055246951427 48.25518591090826)
Cumberlandstraße,11.0,14,,,,2.0,Wohnnutzung,"W2.2.-Bürgerhaus-Haus auf tiefer,schmaler Parzelle,ohne Hof",1860-1883,POINT (16.310418099763826 48.19158106902713)
Sperrgasse,6.0,15,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,vor 1848,POINT (16.332443826669326 48.19340546742064)
Wallgasse,4.0,6,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.339095872956772 48.18997321609118)
Wielemansgasse,18.0,18,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.32386398646807 48.22831581654609)
Endresstraße,108.0,23,,,,1.0,Sonstige,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.26598395866437 48.15178365390931)
Pötzleinsdorfer Straße,88.0,18,,1972.0,,2.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.309268077309845 48.24233315719061)
Zehetnergasse,39.0,14,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.286719418300187 48.19637490777351)
Markgraf-Rüdiger-Straße,1.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330182119277023 48.2003367307829)
Wagramer Straße,105.0,22,,,,1.0,betriebliche Nutzung,Keine Angabe,1848 -1918,POINT (16.439155263146915 48.245815910311535)
Kreindlgasse,21.0,19,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.351848437975928 48.24008818749896)
Krottenbachstraße,79.0,19,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.330089606335157 48.241175657871366)
Felix-Mottl-Straße,31.0,19,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.34161384421575 48.23465131840122)
Telekygasse,23.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.335775347346967 48.239298132090624)
Kammerergasse,8.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.319058983240126 48.24376017454226)
Hellwagstraße,20.0,20,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.38302449981805 48.23802421994309)
Heinzelmanngasse,6.0,20,,1884.0,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.369790343639995 48.22885967879747)
Clessgasse,101.0,21,,,,1.0,betriebliche Nutzung,Keine Angabe,1848 -1918,POINT (16.414291814744193 48.302695470127084)
Baumgartenstraße,25.0,14,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.28255470680167 48.19383505969553)
Allerheiligengasse,13.0,20,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.385804632920582 48.23890312436582)
Wagramer Straße,115.0,22,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.440226083575396 48.246879826127504)
Linzer Straße,160.0,14,,,,6.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.292024392824537 48.1947666459856)
Thaliastraße,114.0,16,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.31604444818206 48.2121143636738)
Isbarygasse,15.0,14,,1872.0,,0.0,keine Angabe,Keine Angabe,1860-1883,POINT (16.260238193133617 48.20054799657035)
Pichlergasse,4.0,9,,1885.0,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.35266705679947 48.2236283897757)
Heinestraße,37.0,2,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.388239896263222 48.219447534155265)
Haebergasse,4.0,12,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.338621399301363 48.18504690350125)
Florianigasse,40.0,8,Melker Hof,1858.0,Franz Schlierholz,5.0,Wohnnutzung,W2.4.-Bürgerhaus-Kloster- u. Stiftungshöfe,1849-1859,POINT (16.347417189250343 48.21267826985399)
Skodagasse,22.0,8,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.34674032554118 48.213755361383136)
Herndlgasse,18.0,10,,,,0.0,Wohnnutzung,Keine Angabe,nach 1945,POINT (16.37998277457447 48.175537453689394)
Steinbauergasse,26.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.341567689893235 48.182698842115386)
Hasnerstraße,27.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.333138913469643 48.20791750610963)
Kaiser-Ebersdorfer Straße,292.0,11,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.464987847617238 48.15982447210706)
Moissigasse,4.0,22,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.421793239373294 48.225366089642)
Friedmanngasse,52.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33085093647972 48.21245540102799)
Amalgergasse,21.0,19,,,,1.0,Sonstige,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.350364103631037 48.25636482606783)
Daringergasse,12.0,19,,,,3.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.340715107031663 48.24758083577738)
Mautner-Markhof-Gasse,84.0,11,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.419718184351296 48.172882288130786)
Hernalser Hauptstraße,200.0,17,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.312693657558412 48.224741986597785)
Haslingergasse,74.0,17,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.3227359501161 48.21533688622462)
Ruckergasse,40.0,12,,,,4.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.32637230410753 48.17820983849267)
Winkelbreiten,31.0,13,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.282973008096857 48.16510509737634)
Daringergasse,12.0,19,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.33709618885004 48.24788264358807)
Kaasgrabengasse,23.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.335861313289197 48.25075793898179)
Gudrunstraße,138.0,10,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,Keine Angabe,POINT (16.372084356690603 48.178565171182065)
Skodagasse,32.0,8,Confraternität,,,3.0,Sonstige,W3.9.-Mieth.s.d.Gründerzeit-Straßenhof,vor 1848,POINT (16.348519937797793 48.214606480709)
Hietzinger Kai,89.0,13,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.291137043389217 48.19014890023694)
Celtesgasse,19.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.295857124498124 48.25357698478386)
Ratschkygasse,22.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32672919587814 48.177368637971696)
Jedleseer Straße,66.0,21,Karl-Seitz-Hof,1926.0,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.388778564280774 48.2627133328439)
Bujattigasse,12.0,14,,,,,keine Angabe,Keine Angabe,1848 -1918,POINT (16.25628133800576 48.20441510334249)
Hüttelbergstraße,8.0,14,,1901.0,,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.25760819906523 48.203569124995155)
Palffygasse,4.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33733361911206 48.21535339839269)
Tivoligasse,43.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.323250158114778 48.180289313583565)
Andergasse,75.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.28398475865324 48.22420779734215)
Johannesgasse,35.0,3,Stadtgartendirketion,1906.0,,2.0,öffentliche Einrichtung,14.-Bauten des öffentlichen und privaten Verkehrs,1884-1918,POINT (16.379045071874764 48.202457123720045)
Weinzingergasse,10.0,19,,,,2.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.340854279103958 48.24699933250977)
Benjowskigasse,31.0,22,,,,2.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.486970213144097 48.21571985588107)
Obere Augartenstraße,1.0,2,,,,1.0,betriebliche Nutzung,12.-Gewerbebetriebe,nach 1945,POINT (16.370839127455323 48.22586247636692)
Pötzleinsdorfer Straße,33.0,18,,1887.0,Josef Stauffer,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.313992407120857 48.2397713805626)
Fichtnergasse,6.0,13,,1912.0,Eugen Ritter Feigel von Farenholz,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.28791260529656 48.18441898051366)
Schirnböckgasse,25.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.278758493939538 48.17518327936755)
Quellenstraße,24.0,10,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.38773116998191 48.17493537490788)
Scheunenstraße,42.0,10,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.40850090962635 48.13372917259394)
Wielandgasse,20.0,10,,,,0.0,Wohnnutzung,Keine Angabe,nach 1945,POINT (16.378643122183323 48.17549074222501)
Hernalser Hauptstraße,37.0,17,,1873.0,Stadtbaumeister Johann Gschwandner,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.336635924603456 48.21689178165379)
Hockegasse,86.0,18,,1911.0,Albert Kittel,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1884-1918,POINT (16.310467969791965 48.239300934670204)
Neulerchenfelder Straße,86.0,16,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.328024025028895 48.2126770090739)
Margaretengürtel,53.0,5,,,,0.0,betriebliche Nutzung,12.-Gewerbebetriebe,nach 1945,POINT (16.34976164460439 48.17952480008803)
Julius-Tandler-Platz,2.0,9,,1891.0,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.360280120276872 48.22564448604528)
Josefstädter Straße,38.0,8,,1886.0,Prihoda und Nemecek,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.348574338377517 48.20976434871191)
Glasergasse,24.0,9,keine Angabe,1892.0,Dolezal Johann,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.36603206454128 48.22512854354805)
Stolberggasse,18.0,5,,,,1.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.36117783339151 48.186731246944156)
Hormayrgasse,12.0,17,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.331191457982097 48.21984972131541)
Drechslergasse,6.0,14,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.30941439827805 48.19401773956959)
Telekygasse,26.0,19,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.335834581663374 48.23948366137583)
Khevenhüllerstraße,20.0,19,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.307849378259014 48.24659809447955)
Paradisgasse,44.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.345374886547702 48.24923925338506)
Geweygasse,7.0,19,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.357083017736787 48.251896092127865)
Weisselgasse,4.0,21,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1848 -1918,POINT (16.398617315184875 48.26092416912128)
Plößlgasse,2.0,4,,,,6.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,nach 1945,POINT (16.37560865510095 48.19457785278382)
Siegelgasse,1.0,3,Spiegelmacherhaus,1767.0,,3.0,keine Angabe,Keine Angabe,1741-1780,POINT (16.39157645234827 48.204054446356444)
Arbesbachgasse,4.0,19,,,,4.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.34301787914556 48.244786006393454)
St.-Georg-Platz,4.0,19,,,,1.0,Wohnnutzung,Keine Angabe,1741-1780,POINT (16.354515324787435 48.2747595945036)
Badhausgasse,7.0,7,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.3440303593514 48.207081983352865)
Heiligenstädter Straße,141.0,19,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.36364364577773 48.2532339694349)
Lerchenfelder Gürtel,57.0,16,Yppenheim,,,3.0,öffentliche Einrichtung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",1848 -1918,POINT (16.33810507157405 48.211910966259325)
Breitenleer Straße,246.0,22,,,,1.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.496484900600766 48.25102402142151)
Hohenbergstraße,52.0,12,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.316707747374593 48.17667301103958)
Enkplatz,5.0,11,Rondonell-Hof,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.412643048747572 48.17604178548655)
Kreuzgasse,31.0,18,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.338902749334572 48.22264766830689)
Pyrkergasse,37.0,19,,,,5.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.354603234839058 48.241320471581076)
Uchatiusgasse,10.0,3,,,,8.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.390582147812108 48.204973669546895)
Wallrißstraße,75.0,18,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.31925073026067 48.233049693949845)
Flemminggasse,15.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.321227523521976 48.25048052413032)
Jagdschloßgasse,33.0,13,Villa Czetz,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.27704497940478 48.17715724374871)
Oppelgasse,15.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.34006483782841 48.18360902118587)
Senefeldergasse,37.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.37553766979399 48.1740960028453)
Sturzgasse,25.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.316882126632805 48.196113488537776)
Vösendorfer Straße,162.0,23,Siedlung Othellogasse,1990.0,"Melicher, Schwalm-Theiss und Gressenbauer",0.0,keine Angabe,Keine Angabe,Nach 1976,POINT (16.347544460155007 48.138666963983674)
Scheydgasse,13.0,21,,1928.0,Sammer Fritz und Richter Hans Rudolf,0.0,keine Angabe,Keine Angabe,1919-1945,POINT (16.38203913479193 48.28638520281003)
Hohlweggasse,10.0,3,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.387973708386898 48.192517086432815)
Kirchengasse,18.0,7,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.352332782195678 48.201129216075344)
Kirchengasse,22.0,7,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.3522190648322 48.20142142211414)
Jedleseer Straße,82.0,21,"Karl-Seitz-Hof, Dominik-Hofmann-Sporthalle d. Stadt Wien",1926.0,,3.0,öffentliche Einrichtung,7.-Bauten der Freizeit und Erholung,1919 - 1945,POINT (16.3879363168963 48.26173346362287)
Franz-Jonas-Platz,4.0,21,,,,2.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.398730798464364 48.25679832419564)
Julius-Meinl-Gasse,7.0,16,Kongreßbad,,,2.0,öffentliche Einrichtung,7.-Bauten der Freizeit und Erholung,1919 - 1945,POINT (16.312330659674597 48.22158062354049)
Hirschstettner Straße,101.0,22,,,,,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.466635301100112 48.23510034024033)
Lannerstraße,15.0,19,,1903.0,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.34580416678651 48.23572509740698)
Eroicagasse,10.0,19,,1912.0,Ernst Christoph R.,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.358929005205702 48.25692857601452)
Paradisgasse,30.0,19,,,,2.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.34777456633523 48.24944677729667)
Schumanngasse,51.0,17,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.33568852805312 48.221997942325636)
Hohe Warte,72.0,19,Heiligenstädter Pfarrkirche St. Michael,,Schömer Josef,1.0,Sonstige,2.-Bauten des Kultus,1884-1918,POINT (16.355168948943486 48.25327534471024)
Nisselgasse,17.0,14,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1781-1848,POINT (16.30442847894667 48.18944799359833)
Braungasse,11.0,17,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.305225916835656 48.2252015726821)
Linke Bahngasse,9.0,3,Beatrixbad,1888.0,Wieser Joseph und Lotz Arnold,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.384383452289576 48.203160795713806)
Laimgrubengasse,2.0,6,,1898.0,Stierlin Hermann,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.360785364892703 48.19788052734368)
Magdalenenstraße,13.0,6,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.353792906058366 48.19559303511471)
Lerchenfelder Straße,1.0,7,"Zum Eisenhammer, Wohnhaus von Anton Wildgans",,,7.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.354398881139755 48.20657025823397)
Kalvarienberggasse,47.0,17,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.33312054783066 48.22054864967219)
Unterer Schreiberweg,29.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.347457448229335 48.25853969102892)
Schubertgasse,12.0,9,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.353384078078832 48.22749481768494)
Lustkandlgasse,26.0,9,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.352206806759032 48.22716215035808)
Wilhelminenstraße,83.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.30860700452078 48.2175216098593)
Migazziplatz,4.0,12,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,nach 1945,POINT (16.335573626113874 48.18211377776888)
Hasnerstraße,63.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32589849741126 48.20902541403146)
Liechtensteinstraße,108.0,9,,1863.0,,,keine Angabe,Keine Angabe,1860-1883,POINT (16.35655029158852 48.2302083530409)
Clementinengasse,24.0,15,,,,4.0,Wohnnutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1848 -1918,POINT (16.333538384945705 48.191699838562094)
Dreyhausenstraße,5.0,14,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.305172802075948 48.197442380467415)
Gersthofer Straße,111.0,18,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.322936099161485 48.23711994861585)
Hermesstraße,8.0,13,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.270702256950152 48.166876470629454)
Fleschgasse,15.0,13,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.28866408618353 48.18981326692616)
Apollogasse,12.0,7,,,,,Sonstige,Keine Angabe,nach 1945,POINT (16.342995770873486 48.1982817258966)
Aichhorngasse,11.0,12,Gesellinenheim,,,5.0,Wohnnutzung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",nach 1945,POINT (16.33731339660545 48.18444590502334)
Carl-Prohaska-Platz,1.0,10,Volksschule,1962.0,Lintl Hannes,,keine Angabe,Keine Angabe,1946-1976,POINT (16.363981507933957 48.15767908112965)
Bendlgasse,16.0,12,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.335049611672364 48.18027177401822)
Preindlgasse,8.0,13,,,,0.0,Sonstige,Keine Angabe,Keine Angabe,POINT (16.277483172647862 48.18707892437348)
Hormayrgasse,7.0,17,,1904.0,Architekt und Stadtbaumeister Karl Haas,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.33059615892206 48.2192913962091)
Brückengasse,6.0,6,,,,8.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.349070388408563 48.19041292561928)
Hauslabgasse,33.0,5,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.362526731353963 48.183814522165484)
Grimmelshausengasse,1.0,3,,,,6.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.38170849604051 48.2012583803129)
Steinmüllergasse,6.0,17,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.305515716369978 48.22470054944711)
